dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,13,NA,99.2619926199262,205085,269,AllOperatorsNoFKANormalisedWithClassifiers,219,235,mutantTiming,true,4597,3951,165,34477,43201,3723
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,13,NA,98.11320754716981,103477,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5474,314,39,1045,6886,4329
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,14,NA,99.2619926199262,205280,269,AllOperatorsNoFKANormalisedWithClassifiers,218,235,mutantTiming,true,4882,3889,164,34751,43697,3937
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,14,NA,98.11320754716981,104329,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5061,236,21,998,6329,3818
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,15,NA,99.2619926199262,204638,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,6169,3871,163,35780,45992,5257
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,15,NA,98.11320754716981,104449,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5508,276,31,996,6826,4164
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,16,NA,99.2619926199262,204586,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,5609,3943,160,35883,45608,4598
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,16,NA,98.11320754716981,103839,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5050,273,31,1034,6402,3745
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,17,NA,99.2619926199262,204808,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4913,4027,165,35532,44648,3879
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,17,NA,98.11320754716981,103811,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5277,228,21,991,6527,3985
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,18,NA,99.2619926199262,204599,269,AllOperatorsNoFKANormalisedWithClassifiers,217,235,mutantTiming,true,5050,4019,166,36030,45276,4057
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,18,NA,98.11320754716981,102723,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,4933,257,30,1011,6242,4045
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,19,NA,99.2619926199262,204329,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4788,4283,165,35594,44841,3915
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,19,NA,98.11320754716981,109291,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5640,240,21,970,6881,3484
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,20,NA,99.2619926199262,204437,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4921,4078,166,35493,44669,3945
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,20,NA,98.11320754716981,104003,52,AllOperatorsNoFKANormalisedWithClassifiers,58,67,mutantTiming,true,5316,240,24,982,6573,3968
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,21,NA,99.2619926199262,204680,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4902,4728,161,35198,45000,3866
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,21,NA,98.11320754716981,104901,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,4948,262,27,1006,6255,3467
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,22,NA,99.2619926199262,204680,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4981,3891,155,35099,44137,3978
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,22,NA,98.11320754716981,103426,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5110,236,21,1008,6386,4017
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,23,NA,99.2619926199262,204664,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4858,4109,164,34497,43638,3938
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,23,NA,98.11320754716981,103904,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5051,242,22,1027,6353,3724
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,24,NA,99.2619926199262,204118,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4894,4011,156,33906,42980,3937
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,24,NA,98.11320754716981,104945,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5495,248,20,1266,7048,3911
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,25,NA,99.2619926199262,204793,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4920,3861,142,34605,43540,4029
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,25,NA,98.11320754716981,103653,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,4989,245,22,1022,6289,3861
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,26,NA,99.2619926199262,204282,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4670,4102,167,34503,43453,3826
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,26,NA,98.11320754716981,106154,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5328,251,31,949,6571,3793
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,27,NA,99.2619926199262,204809,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,5291,3967,161,34096,43526,4282
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,27,NA,98.11320754716981,104634,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5169,261,25,1005,6470,3812
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,28,NA,99.2619926199262,204325,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4738,4047,162,36821,45780,3841
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,28,NA,98.11320754716981,103527,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5324,239,21,997,6592,4066
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,29,NA,99.2619926199262,204290,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4947,3952,162,33769,42843,4005
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,29,NA,98.11320754716981,107432,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5305,311,25,1007,6662,3562
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,30,NA,99.2619926199262,205062,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,5331,3926,168,34497,43933,4292
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,30,NA,98.11320754716981,104632,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5237,254,25,1008,6535,3946
