dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,12,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10814,4211,6664,1632930,1654635,3600
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,12,NA,97.87234042553192,105168,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6632,236,2187,73470,82537,3486
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,13,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10426,4073,6568,1635610,1656692,3489
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,13,NA,97.87234042553192,107269,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7294,236,2063,75359,84965,3786
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,14,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10712,4126,7365,1629893,1652111,3642
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,14,NA,97.87234042553192,106881,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,6710,233,2049,76588,85593,3255
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,15,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,11022,4084,8175,1631310,1654605,3486
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,15,NA,97.87234042553192,105655,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,7003,221,1953,76369,85559,3612
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,16,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10829,4260,7906,1629621,1652628,3344
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,16,NA,97.87234042553192,105041,46,AllOperatorsNoFKANormalisedWithClassifiers,39,53,mutantTiming,true,6726,267,1864,73838,82707,3436
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,17,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,11029,4104,6635,1631575,1653357,3647
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,17,NA,97.87234042553192,105598,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6934,235,1872,73930,82983,3474
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,18,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10422,4216,6715,1629027,1650391,3458
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,18,NA,97.87234042553192,103123,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6776,259,1790,75510,84345,3693
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,19,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10596,4047,6977,1634964,1656596,3424
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,19,NA,97.87234042553192,107238,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,7206,254,1844,75006,84321,3505
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,20,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10514,4154,6962,1634571,1656218,3391
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,20,NA,97.87234042553192,103309,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7049,237,2104,75914,85315,4241
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,21,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10727,4146,7412,1629864,1652166,3373
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,21,NA,97.87234042553192,104726,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6670,253,1913,74303,83151,3454
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,22,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10671,4209,6865,1635537,1657295,3452
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,22,NA,97.87234042553192,106995,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7197,249,1858,73561,82877,3372
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,23,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10631,4148,8319,1631804,1654915,3462
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,23,NA,97.87234042553192,103489,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,6805,218,1888,74636,83560,3761
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,24,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10694,4060,6948,1638530,1660244,3451
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,24,NA,97.87234042553192,105483,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6598,279,1911,75114,83914,3332
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,25,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10558,4112,7279,1639130,1661092,3505
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,25,NA,97.87234042553192,104761,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7071,223,1817,76355,85480,3711
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,26,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,11458,4124,6632,1637471,1659699,3551
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,26,NA,97.87234042553192,107292,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6728,247,1866,75257,84113,3354
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,27,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10943,4148,7277,1639750,1662134,3451
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,27,NA,97.87234042553192,105080,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6900,223,1861,75323,84319,3576
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,28,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10832,4134,6674,1638117,1659770,3689
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,28,NA,97.87234042553192,105916,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6798,257,1924,75804,84795,3308
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,29,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10699,4025,6968,1640178,1661882,3565
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,29,NA,97.87234042553192,107955,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,8203,274,1924,75943,86356,3160
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,30,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10581,4219,7589,1635169,1657571,3490
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,30,NA,97.87234042553192,103486,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,6715,227,2346,76834,86134,3670
