dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,12,NA,98.11320754716981,101046,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2622,340,33,1009,4017,2119
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,13,NA,99.2619926199262,200500,269,AllOperatorsNoFKANormalisedWithClassifiers,219,235,mutantTiming,true,4196,4004,157,33773,42140,3611
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,13,NA,98.11320754716981,101788,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2377,257,22,959,3626,1860
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,14,NA,99.2619926199262,200513,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4245,4246,167,35894,44562,3628
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,14,NA,98.11320754716981,101167,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2334,285,30,1316,3977,1806
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,15,NA,99.2619926199262,200478,269,AllOperatorsNoFKANormalisedWithClassifiers,219,235,mutantTiming,true,4255,3992,163,35228,43649,3668
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,15,NA,98.11320754716981,100889,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2196,309,30,1044,3593,1727
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,16,NA,99.2619926199262,200516,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4191,4049,160,34879,43289,3580
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,16,NA,98.11320754716981,101799,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2887,292,29,1049,4272,2284
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,17,NA,99.2619926199262,200500,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4497,4083,173,35062,43826,3865
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,17,NA,98.11320754716981,101489,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2289,297,26,1069,3692,1821
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,18,NA,99.2619926199262,200526,269,AllOperatorsNoFKANormalisedWithClassifiers,217,235,mutantTiming,true,4311,4267,167,36100,44856,3710
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,18,NA,98.11320754716981,101139,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2351,248,27,986,3623,1874
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,19,NA,99.2619926199262,200530,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4197,4114,163,35193,43678,3601
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,19,NA,98.11320754716981,100885,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2394,266,22,938,3634,1909
